poi_number,group,route,net_worth
0,Group 1,EBDAC,459
1,Group 3,ABCED,407
2,Group 9,BECAD,5
3,Group 1,BEACD,832
4,Group 1,CBDAE,928
5,Group 19,CADBE,937
6,Group 6,ABEDC,892
7,Group 13,ACBDE,511
8,Group 9,CEADB,586
9,Group 5,CDEAB,422
10,Group 5,BDECA,863
11,Group 17,CADBE,32
12,Group 12,CBDAE,637
13,Group 1,EDABC,590
14,Group 18,ADBEC,894
15,Group 3,BDCEA,7
16,Group 10,AEDBC,974
17,Group 7,EDCAB,401
18,Group 19,DECAB,390
19,Group 5,ACEDB,370
20,Group 13,BCAED,269
21,Group 5,EDBAC,33
22,Group 6,ACEBD,721
23,Group 9,CBAED,88
24,Group 10,CABDE,449
25,Group 15,BACED,895
26,Group 20,EACBD,646
27,Group 1,DABCE,492
28,Group 6,ECADB,661
29,Group 1,EDBCA,23
30,Group 8,ECDAB,364
31,Group 5,DABEC,19
32,Group 9,CDEBA,614
33,Group 19,DAECB,272
34,Group 4,DCBAE,96
35,Group 2,CEADB,408
36,Group 19,EBCAD,679
37,Group 6,AECBD,873
38,Group 1,DBECA,145
39,Group 15,ADBEC,367
40,Group 13,EBACD,420
41,Group 12,ACEDB,827
42,Group 15,CDEAB,174
43,Group 19,BCAED,792
44,Group 2,BEADC,31
45,Group 2,DCABE,204
46,Group 3,AEDCB,251
47,Group 4,DABCE,258
48,Group 9,BAECD,274
49,Group 8,DECAB,438
50,Group 5,CDBEA,55
51,Group 13,CBDEA,560
52,Group 12,ADBCE,759
53,Group 5,EDACB,367
54,Group 16,EBACD,21
55,Group 4,EBADC,634
56,Group 18,DAECB,837
57,Group 11,BACDE,169
58,Group 10,BDCEA,354
59,Group 18,ADEBC,696
60,Group 10,BDAEC,501
61,Group 15,EACDB,845
62,Group 15,DECAB,401
63,Group 6,CDAEB,781
64,Group 11,ADECB,165
65,Group 19,AEDBC,328
66,Group 12,EDABC,789
67,Group 10,BDACE,518
68,Group 11,DCEAB,133
69,Group 15,EBACD,709
70,Group 9,BEDAC,971
71,Group 8,CEABD,77
72,Group 16,BEDCA,884
73,Group 8,BDAEC,247
74,Group 15,DECAB,821
75,Group 8,DEBAC,498
76,Group 20,DBECA,686
77,Group 2,BECDA,26
78,Group 6,DCBEA,429
79,Group 13,CDBEA,926
80,Group 8,ECBAD,599
81,Group 1,BCADE,784
82,Group 20,EBCDA,433
83,Group 4,CAEDB,302
84,Group 3,CDABE,517
85,Group 7,AEBDC,662
86,Group 19,CADEB,194
87,Group 16,DECAB,776
88,Group 16,CAEDB,249
89,Group 14,EABDC,36
90,Group 12,DBAEC,714
91,Group 15,DBEAC,403
92,Group 2,CBDAE,827
93,Group 3,AECBD,698
94,Group 5,BCDAE,345
95,Group 15,ACBDE,462
96,Group 11,BACDE,623
97,Group 5,EBCDA,990
98,Group 3,DCEAB,285
99,Group 15,CDEBA,227
100,Group 2,EDBCA,612
101,Group 20,ADBCE,950
102,Group 15,CBEAD,676
103,Group 9,BCEAD,505
104,Group 8,CEDBA,518
105,Group 3,ACDEB,912
106,Group 19,CEDBA,287
107,Group 3,EBDCA,717
108,Group 9,CEBAD,686
